idx,t,px,py,pz,vx,vy,vz,ax,ay,az,yaw,mode,ledr,ledg,ledb
1399,69.975,-14.672214011007084,-3.050524823068503,-15,0.32658692023425273,-1.4349938492251602,0,0.1608988310852894,0.06690549604308718,0,0,70,0,0,0
1400,70.025,-14.655683616528954,-3.1221059419530057,-15,0.3346273482564308,-1.4282247402804198,0,0.16071755502518598,0.06847544565637026,0,0,70,0,0,0
1401,70.075,-14.638751429081212,-3.1933446867380373,-15,0.3426586023008206,-1.4212990103982774,0,0.1605318728121256,0.070037886165389,0,0,70,0,0,0
1402,70.125,-14.621417912868322,-3.2642332452924685,-15,0.3506804621865383,-1.4142174190630585,0,0.16034178953667996,0.071592646230935,0,0,70,0,0,0
1403,70.17500000000001,-14.603683543097402,-3.334763843886964,-15,0.35869270799023745,-1.40698074285106,0,0.16014731041007818,0.07313955535604542,0,0,70,0,0,0
1404,70.225,-14.585548805965148,-3.404928748046604,-15,0.36669512005215477,-1.399589775345376,0,0.15994844076406364,0.0746784439047032,0,0,70,0,0,0
1405,70.275,-14.567014198644541,-3.4747202633989622,-15,0.374687478982121,-1.3920453270488824,0,0.15974518605074814,0.07620914312043726,0,0,70,0,0,0
1406,70.325,-14.548080229271203,-3.5441307365178996,-15,0.382669565665579,-1.3843482252953525,0,0.1595375518424624,0.07773148514482917,0,0,70,0,0,0
1407,70.375,-14.528747416929466,-3.6131525557628668,-15,0.39064116126959136,-1.3764993141587314,0,0.159325543831603,0.079245303035921,0,0,70,0,0,0
1408,70.42500000000001,-14.509016291638153,-3.681778152113554,-15,0.3986020472488354,-1.3684994543605766,0,0.15910916783047677,0.08075043078652129,0,0,70,0,0,0
1409,70.475,-14.488887394336023,-3.750000000000005,-15,0.40655200535160285,-1.3603495231756628,0,0.15888842977114104,0.08224670334241142,0,0,70,0,0,0
1410,70.525,-14.468361276866968,-3.8178106181277975,-15,0.4144908176257754,-1.3520504143357868,0,0.1586633357052412,0.08373395662044399,0,0,70,0,0,0
1411,70.575,-14.447438501964873,-3.885202570298473,-15,0.4224182664248015,-1.3436030379317585,0,0.15843389180384485,0.08521202752653666,0,0,70,0,0,0
1412,70.625,-14.426119643238168,-3.952168466225085,-15,0.4303341344136732,-1.335008320313588,0,0.1582001043572723,0.08668075397355929,0,0,70,0,0,0
1413,70.67500000000001,-14.404405285154146,-4.018700962342474,-15,0.43823820457486673,-1.3262672039889203,0,0.15796197977492463,0.08813997489910515,0,0,70,0,0,0
1414,70.725,-14.382296023022898,-4.0847927626126985,-15,0.4461302602143075,-1.3173806475196623,0,0.15771952458510752,0.0895895302831561,0,0,70,0,0,0
1415,70.775,-14.359792462981009,-4.150436619325084,-15,0.45401008496730466,-1.3083496254168716,0,0.1574727454348524,0.09102926116562952,0,0,70,0,0,0
1416,70.825,-14.336895221974949,-4.21562533389099,-15,0.461877462804481,-1.299175128033894,0,0.15722164908973438,0.09245900966380957,0,0,70,0,0,0
1417,70.875,-14.313604927744151,-4.280351757633244,-15,0.46973217803769735,-1.2898581614577556,0,0.15696624243368668,0.0938786189896614,0,0,70,0,0,0
1418,70.92500000000001,-14.289922218803794,-4.344608792570093,-15,0.4775740153259693,-1.2803997473988338,0,0.1567065324688117,0.09528793346702515,0,0,70,0,0,0
1419,70.975,-14.265847744427305,-4.408389392193546,-15,0.4854027596813663,-1.2708009230788153,0,0.15644252631518937,0.09668679854868681,0,0,70,0,0,0
1420,71.025,-14.241382164628556,-4.471686562242123,-15,0.49321819647490855,-1.261062741116955,0,0.15617423121068164,0.09807506083332668,0,0,70,0,0,0
1421,71.075,-14.216526150143785,-4.5344933614678125,-15,0.5010201114424456,-1.2511862694146474,0,0.1559016545107345,0.09945256808234045,0,0,70,0,0,0
1422,71.125,-14.191280382413181,-4.596802902397321,-15,0.508808290690539,-1.2411725910383111,0,0.15562480368817577,0.1008191692365354,0,0,70,0,0,0
1423,71.17500000000001,-14.165645553562214,-4.658608352087331,-15,0.5165825207023219,-1.2310228041006217,0,0.1553436863330106,0.10217471443269503,0,0,70,0,0,0
1424,71.225,-14.139622366382676,-4.71990293287378,-15,0.5243425883433483,-1.2207380216400983,0,0.15505831015221333,0.1035190550200125,0,0,70,0,0,0
1425,71.275,-14.11321153431338,-4.780679923115179,-15,0.5320882808674471,-1.210319371499033,0,0.15476868296951604,0.10485204357639356,0,0,70,0,0,0
1426,71.325,-14.086413781420637,-4.840932657929631,-15,0.539819385922542,-1.199767996199825,0,0.15447481272519434,0.1061735339246211,0,0,70,0,0,0
1427,71.375,-14.059229842378373,-4.90065452992579,-15,0.5475356915564841,-1.1890850528196777,0,0.15417670747584938,0.10748338114838683,0,0,70,0,0,0
1428,71.42500000000001,-14.031660462448013,-4.959838989927384,-15,0.5552369862228563,-1.1782717128637177,0,0.15387437539418716,0.10878144160818201,0,0,70,0,0,0
1429,71.475,-14.003706397458032,-5.0184795476914275,-15,0.5629230587867754,-1.1673291621365267,0,0.15356782476879444,0.11006757295704944,0,0,70,0,0,0
1430,71.525,-13.97536841378323,-5.076569772619963,-15,0.5705936985306816,-1.1562586006121003,0,0.1532570640039113,0.11134163415619373,0,0,70,0,0,0
1431,71.575,-13.946647288323769,-5.134103294465168,-15,0.578248695160107,-1.1450612423022701,0,0.15294210161920135,0.11260348549044621,0,0,70,0,0,0
1432,71.625,-13.9175438084838,-5.191073804028051,-15,0.5858878388094542,-1.133738315123554,0,0.15262294624951742,0.11385298858358872,0,0,70,0,0,0
1433,71.67500000000001,-13.888058772149922,-5.247475053850238,-15,0.5935109200477412,-1.122291060762515,0,0.15229960664466505,0.11509000641352649,0,0,70,0,0,0
1434,71.725,-13.858192987669305,-5.3033008588990995,-15,0.6011177298843453,-1.110720734539593,0,0.15197209166916292,0.1163144033273145,0,0,70,0,0,0
1435,71.775,-13.827947273827508,-5.358545097246024,-15,0.6087080597747334,-1.0990286052714415,0,0.1516404103019995,0.11752604505603369,0,0,70,0,0,0
1436,71.825,-13.797322459826061,-5.413201710737721,-15,0.6162817016261761,-1.0872159551317955,0,0.15130457163638703,0.11872479872951433,0,0,70,0,0,0
1437,71.875,-13.76631938525971,-5.467264705660598,-15,0.6238384478034562,-1.0752840795108587,0,0.15096458487951217,0.11991053289090743,0,0,70,0,0,0
1438,71.92500000000001,-13.734938900093416,-5.5207281533980055,-15,0.6313780911345575,-1.0632342868732576,0,0.1506204593522838,0.12108311751109974,0,0,70,0,0,0
1439,71.975,-13.703181864639017,-5.573586191080452,-15,0.6389004249163531,-1.0510678986145374,0,0.1502722044890768,0.12224242400297443,0,0,70,0,0,0
1440,72.025,-13.671049149531678,-5.625833022228447,-15,0.6464052429202628,-1.0387862489162736,0,0.1499198298374742,0.1233883252355105,0,0,70,0,0,0
1441,72.075,-13.63854163570603,-5.67746291738817,-15,0.6538923393979073,-1.0263906845997608,0,0.1495633450580052,0.12452069554772424,0,0,70,0,0,0
